Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,Total_Carbon_Footprint,Footprint_Category
overweight,male,vegan,twice a day,natural gas,private,lpg,never,103,rarely,2465,large,2,1,12,6,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1842,Low
overweight,male,omnivore,more frequently,natural gas,private,electric,never,217,very frequently,8854,extra large,6,9,38,0,No,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3886,High
underweight,male,omnivore,more frequently,wood,private,lpg,often,112,rarely,7389,medium,6,19,3,14,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",3249,Medium
normal,male,vegetarian,daily,wood,private,petrol,often,130,very frequently,13,extra large,6,11,5,0,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",3001,Medium
underweight,male,pescatarian,less frequently,coal,private,hybrid,sometimes,126,very frequently,4039,small,2,22,10,24,Yes,['Plastic'],"['Grill', 'Airfryer']",3039,Medium
obese,female,vegan,twice a day,wood,private,electric,sometimes,147,frequently,14,small,1,16,20,4,Yes,['Paper'],['Oven'],1581,Low
overweight,female,pescatarian,less frequently,natural gas,private,petrol,often,230,rarely,9710,extra large,3,5,5,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",4473,High
normal,male,vegetarian,twice a day,natural gas,private,hybrid,sometimes,82,never,7215,large,6,11,17,22,Yes,['Paper'],"['Grill', 'Airfryer']",2666,Medium
obese,female,vegan,twice a day,coal,private,lpg,never,230,frequently,1659,medium,6,11,40,23,Sometimes,"['Plastic', 'Glass', 'Metal']",[],2798,Medium
overweight,male,omnivore,more frequently,coal,private,lpg,never,249,frequently,3007,large,3,24,46,24,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",3762,High
obese,female,vegan,less frequently,coal,private,hybrid,never,279,very frequently,8125,extra large,1,10,20,13,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4442,High
underweight,male,omnivore,less frequently,natural gas,private,diesel,never,232,frequently,7937,extra large,4,3,15,4,Yes,"['Plastic', 'Metal']","['Grill', 'Airfryer']",4077,High
overweight,female,vegan,more frequently,electricity,private,electric,sometimes,106,frequently,8237,large,7,9,5,15,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],1538,Low
obese,male,omnivore,twice a day,wood,private,electric,never,168,very frequently,1601,medium,6,5,48,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3550,High
underweight,female,vegan,twice a day,wood,private,hybrid,sometimes,299,rarely,7440,medium,3,1,15,13,No,"['Plastic', 'Metal']",[],2007,Low
underweight,male,vegan,daily,coal,private,diesel,sometimes,275,frequently,741,extra large,7,10,40,3,No,"['Paper', 'Plastic', 'Glass']",['Microwave'],2898,Medium
obese,female,pescatarian,less frequently,natural gas,private,lpg,sometimes,68,frequently,4863,large,7,14,9,3,Sometimes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3796,High
normal,male,omnivore,less frequently,wood,private,petrol,sometimes,287,rarely,5221,large,6,22,16,10,Sometimes,"['Paper', 'Plastic', 'Metal']",['Microwave'],3785,High
obese,male,pescatarian,more frequently,coal,private,lpg,sometimes,288,never,6367,medium,7,6,12,3,No,"['Paper', 'Glass']","['Stove', 'Microwave']",3961,High
obese,female,pescatarian,twice a day,coal,private,diesel,never,264,frequently,3643,extra large,3,15,10,0,Sometimes,"['Paper', 'Plastic']",['Oven'],3181,Medium
underweight,male,omnivore,less frequently,natural gas,private,electric,often,124,very frequently,2836,small,7,4,5,21,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2678,Medium
normal,female,vegan,twice a day,coal,private,petrol,often,268,rarely,6808,medium,4,24,45,2,No,[],"['Oven', 'Grill', 'Airfryer']",4256,High
obese,female,vegetarian,more frequently,coal,private,petrol,sometimes,178,never,469,large,4,15,29,1,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1730,Low
obese,female,vegetarian,twice a day,wood,private,hybrid,often,137,rarely,3119,small,2,19,18,2,No,['Metal'],"['Oven', 'Microwave']",1835,Low
underweight,male,vegetarian,daily,natural gas,private,hybrid,never,79,rarely,4295,extra large,4,20,45,3,Sometimes,['Glass'],['Stove'],2386,Medium
underweight,female,vegetarian,twice a day,wood,private,electric,sometimes,172,very frequently,6993,large,7,20,8,19,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2280,Low
normal,male,vegetarian,twice a day,coal,private,diesel,never,176,never,3044,large,3,13,1,21,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1786,Low
normal,female,omnivore,twice a day,coal,private,electric,sometimes,87,frequently,8454,small,2,21,35,3,Sometimes,"['Paper', 'Plastic']",['Oven'],1693,Low
normal,female,vegan,more frequently,natural gas,private,hybrid,never,156,frequently,3652,small,4,20,30,13,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2001,Low
normal,female,omnivore,more frequently,natural gas,private,electric,never,226,very frequently,7638,small,2,21,33,12,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2368,Medium
obese,male,vegetarian,daily,coal,private,hybrid,never,257,never,7455,medium,4,0,27,21,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",3100,Medium
obese,male,vegetarian,less frequently,natural gas,private,lpg,often,107,very frequently,90,small,1,18,6,15,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave']",2640,Medium
underweight,female,omnivore,daily,wood,private,lpg,often,103,rarely,9012,large,2,24,5,0,No,['Glass'],['Microwave'],2960,Medium
obese,male,vegetarian,daily,electricity,private,diesel,sometimes,195,very frequently,8371,small,1,0,18,21,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",5321,High
underweight,female,pescatarian,twice a day,coal,private,petrol,often,92,never,1022,large,1,15,25,13,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1387,Low
obese,female,vegetarian,less frequently,natural gas,private,lpg,sometimes,124,frequently,786,medium,6,24,33,14,Yes,"['Glass', 'Metal']",[],2320,Medium
obese,male,vegetarian,twice a day,wood,private,electric,never,182,rarely,1828,extra large,2,23,21,3,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1647,Low
overweight,male,vegetarian,less frequently,electricity,private,diesel,never,281,frequently,8167,small,4,4,18,9,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3754,High
obese,male,omnivore,more frequently,coal,private,lpg,often,225,never,439,large,2,12,1,2,No,"['Paper', 'Glass', 'Metal']",['Oven'],1592,Low
obese,male,vegan,less frequently,coal,private,lpg,sometimes,87,rarely,3880,large,3,5,11,7,No,['Plastic'],['Microwave'],3246,Medium
underweight,male,vegan,twice a day,coal,private,lpg,sometimes,170,very frequently,7771,extra large,1,22,43,21,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4501,High
underweight,female,vegetarian,twice a day,wood,private,petrol,sometimes,276,frequently,6839,medium,7,3,29,16,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4030,High
normal,male,vegan,less frequently,electricity,private,petrol,sometimes,292,very frequently,2402,small,3,24,4,2,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2655,Medium
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,186,very frequently,6287,small,6,13,0,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",4574,High
overweight,female,vegan,more frequently,electricity,private,lpg,sometimes,92,never,3601,medium,5,0,39,21,Yes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",1928,Low
overweight,female,vegetarian,more frequently,wood,private,diesel,often,146,frequently,2439,small,3,6,11,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],1896,Low
underweight,female,vegetarian,twice a day,wood,private,petrol,sometimes,210,very frequently,160,small,6,10,16,8,Yes,"['Paper', 'Glass', 'Metal']",['Oven'],1838,Low
underweight,male,pescatarian,more frequently,coal,private,hybrid,sometimes,291,never,1440,medium,5,12,22,7,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",2104,Low
normal,male,pescatarian,daily,coal,private,hybrid,never,106,never,8379,small,3,10,46,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2872,Medium
normal,male,vegan,less frequently,wood,private,hybrid,sometimes,297,very frequently,7572,medium,3,6,47,4,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",4121,High
obese,male,vegan,less frequently,natural gas,private,electric,never,59,rarely,294,extra large,1,11,18,3,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",1077,Low
obese,male,vegetarian,twice a day,wood,private,hybrid,never,88,rarely,191,small,7,7,10,13,Sometimes,['Plastic'],"['Stove', 'Microwave']",1548,Low
obese,female,omnivore,more frequently,electricity,private,diesel,never,211,never,6762,small,2,11,50,20,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3203,Medium
overweight,male,pescatarian,less frequently,electricity,private,lpg,sometimes,271,rarely,7895,large,6,15,43,20,Yes,"['Glass', 'Metal']",['Microwave'],4510,High
overweight,male,vegan,less frequently,wood,private,electric,often,291,rarely,4605,extra large,7,4,16,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",2333,Medium
obese,female,vegan,daily,wood,private,lpg,never,83,never,6760,extra large,3,24,25,5,No,['Paper'],['Stove'],3296,Medium
underweight,male,vegetarian,less frequently,natural gas,private,petrol,sometimes,247,frequently,4351,medium,1,15,21,0,Sometimes,"['Plastic', 'Glass', 'Metal']",['Microwave'],2994,Medium
underweight,male,pescatarian,daily,natural gas,private,lpg,often,161,rarely,9111,extra large,2,21,24,12,Sometimes,['Paper'],"['Stove', 'Microwave']",3907,High
obese,female,pescatarian,daily,electricity,private,diesel,never,148,frequently,8233,small,5,0,13,9,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",3851,High
underweight,female,pescatarian,less frequently,coal,private,lpg,never,281,rarely,4459,extra large,1,9,49,17,Yes,"['Paper', 'Glass']",['Oven'],2582,Medium
obese,female,pescatarian,daily,electricity,private,petrol,sometimes,257,never,5372,medium,4,9,8,7,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2945,Medium
obese,male,pescatarian,daily,coal,private,hybrid,never,224,frequently,8842,extra large,6,7,19,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4497,High
underweight,male,omnivore,twice a day,electricity,private,diesel,never,241,frequently,7435,medium,7,18,37,21,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",3916,High
obese,female,vegan,twice a day,electricity,private,diesel,often,255,rarely,8772,small,4,5,5,24,No,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",3306,Medium
overweight,female,vegetarian,less frequently,coal,private,petrol,sometimes,296,frequently,6813,medium,7,3,15,16,Yes,['Plastic'],['Stove'],4773,High
overweight,male,vegan,daily,wood,private,diesel,often,82,very frequently,5863,extra large,7,12,34,22,Sometimes,[],['Oven'],5750,High
normal,male,pescatarian,twice a day,coal,private,electric,never,264,very frequently,3570,small,5,17,28,22,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2937,Medium
overweight,male,pescatarian,more frequently,coal,private,electric,sometimes,169,very frequently,8533,extra large,2,12,4,17,Yes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2618,Medium
obese,male,vegan,twice a day,electricity,private,petrol,sometimes,145,rarely,8840,small,1,11,42,18,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",5392,High
normal,male,vegan,twice a day,wood,private,petrol,often,132,very frequently,8860,large,3,17,31,23,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",5816,High
overweight,female,vegan,less frequently,coal,private,diesel,sometimes,279,frequently,586,small,1,5,15,9,Yes,['Metal'],['Oven'],1818,Low
obese,male,omnivore,more frequently,coal,private,petrol,sometimes,170,frequently,2834,large,6,4,25,9,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",4403,High
obese,female,vegan,less frequently,natural gas,private,electric,often,182,never,2850,medium,1,9,45,2,No,[],"['Stove', 'Oven']",1586,Low
underweight,male,vegetarian,twice a day,wood,private,hybrid,sometimes,253,never,7829,extra large,2,6,25,17,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2448,Medium
normal,male,pescatarian,daily,natural gas,private,hybrid,sometimes,106,never,2765,medium,6,21,45,24,No,"['Plastic', 'Glass', 'Metal']",['Stove'],2083,Low
obese,male,pescatarian,daily,wood,private,diesel,sometimes,292,frequently,3730,extra large,1,14,39,1,Yes,"['Paper', 'Plastic']",['Oven'],3659,High
obese,male,vegetarian,daily,natural gas,private,lpg,often,70,rarely,6019,extra large,3,20,46,21,No,"['Paper', 'Metal']","['Stove', 'Microwave']",4040,High
obese,female,pescatarian,daily,natural gas,private,lpg,never,63,very frequently,6824,extra large,2,4,2,23,Yes,['Metal'],[],4082,High
underweight,male,omnivore,twice a day,wood,private,diesel,never,182,frequently,3293,large,3,11,14,7,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",2629,Medium
normal,female,vegetarian,twice a day,coal,private,hybrid,never,199,very frequently,6211,extra large,5,8,45,17,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],3700,High
overweight,female,vegetarian,twice a day,electricity,private,lpg,often,250,never,9941,extra large,3,0,36,7,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",3703,High
underweight,male,omnivore,daily,coal,private,lpg,often,64,never,4499,medium,6,24,30,24,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],2702,Medium
overweight,female,omnivore,twice a day,wood,private,electric,often,246,never,8764,small,6,24,36,7,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1815,Low
obese,female,vegetarian,twice a day,coal,private,lpg,sometimes,227,very frequently,8786,extra large,4,20,24,2,Yes,['Metal'],"['Oven', 'Grill', 'Airfryer']",5976,High
overweight,female,vegetarian,more frequently,natural gas,private,diesel,never,236,rarely,5063,medium,7,15,15,24,Sometimes,['Glass'],"['Stove', 'Oven']",2833,Medium
obese,female,pescatarian,more frequently,natural gas,private,diesel,often,276,very frequently,3959,extra large,5,8,43,7,Sometimes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4662,High
obese,female,vegan,less frequently,electricity,private,hybrid,never,124,never,6730,extra large,4,3,28,13,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2207,Low
normal,female,vegetarian,daily,wood,private,electric,often,163,rarely,3022,large,4,23,29,8,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1509,Low
underweight,male,pescatarian,less frequently,coal,private,electric,never,238,frequently,4674,small,4,13,25,1,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",1830,Low
underweight,female,omnivore,more frequently,coal,private,petrol,never,172,never,5356,large,6,4,39,2,Sometimes,['Paper'],['Oven'],3219,Medium
obese,male,vegetarian,more frequently,natural gas,private,diesel,often,85,frequently,5474,medium,3,10,44,13,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",4061,High
obese,male,vegetarian,more frequently,wood,private,hybrid,often,136,never,2859,extra large,1,16,27,22,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",1844,Low
normal,male,pescatarian,twice a day,natural gas,private,lpg,often,263,frequently,1202,small,7,22,13,11,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2214,Low
obese,female,vegetarian,twice a day,electricity,private,electric,never,109,rarely,9489,medium,5,23,18,6,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",942,Low
normal,male,omnivore,twice a day,natural gas,private,hybrid,often,110,rarely,5508,extra large,2,11,34,15,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],2479,Medium
obese,male,omnivore,twice a day,electricity,private,lpg,sometimes,180,very frequently,5986,large,2,16,16,22,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",4724,High
underweight,male,vegetarian,twice a day,electricity,private,electric,sometimes,177,rarely,8613,medium,2,21,36,14,Yes,"['Plastic', 'Glass']",[],1221,Low
normal,female,vegetarian,daily,wood,private,lpg,often,280,rarely,4508,small,4,20,11,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1977,Low
normal,female,vegan,less frequently,electricity,private,electric,never,73,frequently,7552,large,3,12,45,7,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1753,Low
normal,female,pescatarian,daily,natural gas,private,lpg,often,252,frequently,2499,small,1,18,36,5,Sometimes,['Plastic'],"['Oven', 'Microwave']",2513,Medium
overweight,female,pescatarian,twice a day,electricity,private,hybrid,sometimes,223,never,2888,large,2,23,28,7,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1472,Low
underweight,male,pescatarian,daily,coal,private,petrol,often,246,very frequently,544,small,6,12,50,1,Sometimes,['Glass'],[],3437,High
obese,female,pescatarian,daily,electricity,private,hybrid,often,60,never,6920,small,1,1,40,19,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2249,Low
underweight,female,vegetarian,twice a day,wood,private,lpg,never,233,very frequently,5505,medium,3,24,39,5,Sometimes,"['Plastic', 'Metal']",['Microwave'],3375,Medium
normal,female,pescatarian,twice a day,electricity,private,lpg,never,105,rarely,8771,extra large,3,8,7,7,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",2919,Medium
underweight,female,pescatarian,twice a day,natural gas,private,diesel,never,249,frequently,4265,small,1,19,29,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2334,Medium
underweight,male,vegetarian,daily,natural gas,private,hybrid,never,123,frequently,7425,medium,2,4,6,5,No,[],['Oven'],2649,Medium
normal,female,vegan,daily,natural gas,private,electric,often,87,frequently,2571,extra large,7,7,39,2,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2365,Medium
overweight,male,vegetarian,twice a day,electricity,private,diesel,often,198,rarely,9885,medium,4,10,4,16,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven']",4051,High
normal,female,vegetarian,daily,electricity,private,electric,sometimes,224,rarely,3650,medium,4,2,7,3,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",663,Low
underweight,male,omnivore,twice a day,coal,private,lpg,sometimes,119,frequently,5769,large,7,6,8,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3646,High
obese,male,pescatarian,twice a day,natural gas,private,lpg,never,172,frequently,2664,large,5,22,18,19,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",3484,High
normal,female,vegetarian,more frequently,natural gas,private,lpg,never,88,very frequently,2317,small,6,15,45,23,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2930,Medium
normal,female,omnivore,twice a day,coal,private,electric,never,71,rarely,2536,medium,5,1,36,21,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",1635,Low
overweight,female,pescatarian,more frequently,electricity,private,hybrid,never,105,rarely,4763,medium,5,11,41,5,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",1897,Low
normal,male,vegetarian,less frequently,coal,private,diesel,never,274,frequently,5167,large,3,15,32,23,Sometimes,['Glass'],"['Stove', 'Oven']",3698,High
underweight,male,vegan,more frequently,electricity,private,electric,sometimes,123,very frequently,2632,extra large,6,21,4,21,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2499,Medium
normal,female,vegan,daily,electricity,private,petrol,never,50,frequently,3643,medium,2,2,49,1,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven'],2457,Medium
overweight,male,omnivore,daily,electricity,private,lpg,often,278,rarely,1427,small,4,14,2,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1509,Low
obese,female,omnivore,more frequently,natural gas,private,diesel,sometimes,159,rarely,4669,medium,7,11,50,4,Sometimes,['Metal'],"['Stove', 'Oven']",3469,High
normal,female,pescatarian,twice a day,wood,private,hybrid,sometimes,94,never,2131,medium,7,19,45,0,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1767,Low
obese,female,vegetarian,more frequently,coal,private,hybrid,sometimes,178,rarely,4816,small,2,14,15,6,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2408,Medium
obese,female,vegan,twice a day,wood,private,diesel,sometimes,175,frequently,5555,extra large,5,21,35,0,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",3660,High
obese,male,vegetarian,daily,electricity,private,petrol,never,162,rarely,9107,large,3,17,10,19,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",5293,High
overweight,male,vegan,twice a day,electricity,private,electric,sometimes,204,very frequently,10,extra large,6,1,17,9,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",2955,Medium
overweight,female,pescatarian,more frequently,electricity,private,lpg,never,251,very frequently,4123,large,1,12,19,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",3415,High
normal,female,vegetarian,less frequently,natural gas,private,diesel,never,168,never,5619,extra large,4,18,32,9,No,['Paper'],[],2508,Medium
normal,female,omnivore,twice a day,electricity,private,lpg,never,274,frequently,5198,small,3,13,33,6,No,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2669,Medium
obese,male,vegan,daily,wood,private,lpg,never,145,very frequently,7848,small,5,1,21,4,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",5779,High
normal,female,pescatarian,twice a day,wood,private,lpg,sometimes,104,never,7864,large,5,16,48,18,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3694,High
overweight,male,vegan,twice a day,coal,private,hybrid,never,249,frequently,5836,small,3,23,45,13,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3286,Medium
overweight,male,omnivore,more frequently,electricity,private,lpg,often,56,rarely,9332,large,3,8,38,7,Yes,['Paper'],"['Stove', 'Oven']",4811,High
overweight,female,vegan,more frequently,electricity,private,hybrid,sometimes,246,never,6657,extra large,1,24,14,6,Yes,"['Paper', 'Glass']",['Stove'],1565,Low
obese,male,vegetarian,daily,electricity,private,lpg,never,149,frequently,4783,small,7,7,23,0,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3344,Medium
underweight,male,pescatarian,daily,wood,private,petrol,never,103,very frequently,9993,medium,4,22,19,5,No,['Plastic'],"['Stove', 'Oven']",5756,High
obese,male,omnivore,daily,wood,private,petrol,sometimes,128,very frequently,2901,medium,6,22,19,20,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4488,High
obese,female,pescatarian,daily,electricity,private,electric,often,75,rarely,3636,large,1,22,24,0,Yes,[],"['Stove', 'Grill', 'Airfryer']",1192,Low
obese,female,vegan,daily,natural gas,private,electric,sometimes,252,frequently,9727,medium,2,10,11,14,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1523,Low
obese,female,pescatarian,more frequently,coal,private,petrol,never,192,rarely,1485,medium,2,2,31,12,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2148,Low
underweight,male,omnivore,twice a day,wood,private,diesel,often,161,never,759,extra large,4,17,17,22,Sometimes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1790,Low
overweight,male,pescatarian,daily,coal,private,electric,sometimes,275,never,625,small,5,15,15,10,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1393,Low
obese,female,pescatarian,less frequently,wood,private,diesel,sometimes,146,frequently,1846,large,2,8,36,3,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],2188,Low
overweight,female,omnivore,daily,coal,private,petrol,sometimes,108,frequently,6109,medium,6,4,44,3,Sometimes,['Plastic'],"['Stove', 'Grill', 'Airfryer']",4717,High
overweight,male,vegan,daily,coal,private,electric,often,66,never,670,extra large,2,21,32,21,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",2026,Low
normal,female,vegetarian,more frequently,coal,private,diesel,sometimes,82,very frequently,5916,extra large,6,1,48,19,Sometimes,"['Plastic', 'Metal']",['Microwave'],4374,High
underweight,male,pescatarian,daily,wood,private,lpg,sometimes,174,rarely,3091,small,3,11,34,24,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2175,Low
overweight,male,vegetarian,daily,wood,private,diesel,sometimes,245,very frequently,6488,small,6,22,40,0,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",4859,High
overweight,female,vegan,twice a day,natural gas,private,hybrid,often,219,very frequently,7385,medium,6,20,38,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3887,High
normal,female,omnivore,less frequently,wood,private,diesel,never,122,very frequently,2003,large,2,14,32,0,Sometimes,['Metal'],[],2533,Medium
underweight,male,vegetarian,daily,electricity,private,lpg,sometimes,252,never,9395,medium,3,13,0,5,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2867,Medium
underweight,male,vegan,more frequently,electricity,private,diesel,often,94,rarely,2631,medium,3,8,39,5,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1887,Low
underweight,male,omnivore,more frequently,wood,private,petrol,never,62,very frequently,242,small,2,17,46,11,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2542,Medium
normal,female,pescatarian,less frequently,coal,private,petrol,never,159,never,1480,small,1,3,26,6,Sometimes,['Paper'],['Stove'],1488,Low
underweight,male,pescatarian,twice a day,coal,private,electric,sometimes,95,never,1695,large,2,5,27,3,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",1172,Low
underweight,female,pescatarian,twice a day,natural gas,private,lpg,often,206,frequently,3318,medium,6,5,7,16,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2531,Medium
underweight,female,vegetarian,more frequently,coal,private,electric,often,294,never,6631,medium,5,19,42,2,Sometimes,['Plastic'],['Stove'],1741,Low
